RepID,EffArrival,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.3034,0.4297,0.2999,1.4163,0.4163,10000,34664.8413
2,0.3011,0.4333,0.3008,1.4391,0.4391,10000,34812.6500
3,0.2994,0.4316,0.3022,1.4418,0.4418,10000,35167.4755
4,0.2979,0.4401,0.3041,1.4774,0.4774,10000,35175.1664
5,0.3011,0.4297,0.3010,1.4266,0.4266,10000,34829.6033
6,0.3017,0.4383,0.2995,1.4523,0.4523,10000,34798.9911
7,0.3036,0.4451,0.3041,1.4662,0.4662,10000,34690.5636
8,0.2977,0.4151,0.2924,1.3940,0.3940,10000,35284.9641
9,0.2999,0.4292,0.3013,1.4310,0.4310,10000,35044.2811
10,0.3002,0.4198,0.2998,1.3984,0.3984,10000,34919.2287
